                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 0.2259,                 0.2049,                0.94397,                0.95031,                 0.9867,                0.99132,                0.95128,                0.29293,                0.28865,                0.85501,             0.00029872,             0.00029872,             0.00029872
                     97,                0.23182,                0.21563,                0.95121,                0.96097,                0.99285,                0.99267,                0.95936,                0.28706,                0.26666,                0.84672,              0.0002943,              0.0002943,              0.0002943
                     98,                0.22983,                0.21804,                0.95253,                0.95129,                0.98977,                0.99022,                0.95525,                0.28691,                0.28563,                0.85217,             0.00028988,             0.00028988,             0.00028988
                     99,                 0.2268,                0.20765,                0.94596,                0.95032,                0.99429,                0.98816,                  0.952,                0.27653,                0.28183,                0.84138,             0.00028547,             0.00028547,             0.00028547
                    100,                0.22008,                0.20659,                0.94868,                0.92892,                0.99724,                0.99145,                0.95836,                0.28274,                0.29629,                0.84198,             0.00028105,             0.00028105,             0.00028105
                    101,                0.22339,                0.20582,                0.94977,                0.95655,                 0.9946,                0.99207,                0.95346,                0.28317,                0.26523,                0.84273,             0.00027663,             0.00027663,             0.00027663
                    102,                0.21535,                0.20523,                0.94327,                0.95407,                0.99075,                0.99241,                0.95689,                0.28486,                0.28011,                0.84601,             0.00027221,             0.00027221,             0.00027221
                    103,                0.22738,                0.20897,                0.95043,                0.95865,                0.99591,                0.99036,                0.95311,                0.29256,                0.28156,                0.84927,             0.00026779,             0.00026779,             0.00026779
                    104,                0.22007,                0.20288,                0.94867,                0.95964,                 0.9955,                 0.9917,                0.95501,                0.28692,                0.26627,                0.84741,             0.00026338,             0.00026338,             0.00026338
                    105,                0.22462,                0.20882,                 0.9492,                0.93263,                0.99297,                0.99107,                0.95524,                0.28589,                0.26047,                0.84428,             0.00025896,             0.00025896,             0.00025896
                    106,                0.21785,                0.19857,                0.94446,                0.94203,                0.99283,                 0.9902,                0.96085,                0.28263,                0.27397,                  0.839,             0.00025454,             0.00025454,             0.00025454
                    107,                0.21916,                0.20226,                0.94644,                0.95879,                0.98754,                 0.9922,                0.95444,                0.28077,                0.28654,                0.84034,             0.00025012,             0.00025012,             0.00025012
                    108,                0.22146,                0.19985,                0.94666,                 0.9605,                0.98858,                0.99349,                0.95591,                0.27697,                0.27327,                0.83612,             0.00024571,             0.00024571,             0.00024571
                    109,                0.21538,                0.19532,                0.94507,                0.95517,                0.99135,                0.99145,                0.95586,                0.27614,                0.26044,                0.83651,             0.00024129,             0.00024129,             0.00024129
                    110,                0.21311,                0.19858,                 0.9421,                0.95512,                0.98933,                 0.9921,                0.95557,                 0.2751,                0.26406,                 0.8341,             0.00023687,             0.00023687,             0.00023687
                    111,                 0.2148,                 0.1914,                0.94105,                 0.9588,                 0.9986,                0.99124,                0.95781,                0.27598,                0.26592,                0.83569,             0.00023245,             0.00023245,             0.00023245
                    112,                0.21163,                0.19725,                0.94117,                0.95582,                0.98614,                0.99015,                0.95521,                 0.2754,                0.27646,                0.83259,             0.00022803,             0.00022803,             0.00022803
                    113,                0.21171,                0.19065,                0.93692,                0.95664,                0.99106,                0.99253,                0.96838,                0.27604,                0.26513,                0.83328,             0.00022362,             0.00022362,             0.00022362
